armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
93,-1219.1586,123.166565,-168.0769,100.0,BombsiteB,TeSeS,76561197996678278,ct,ct,7,15,85,chest,t,2718,-1719.6637,742.9459,-47.96875,100,Apartments,xertioN,76561198193174134,t,hkp2000,15,1
85,-2063.738,750.2834,-46.033264,100.0,Apartments,kyxsan,76561198057282432,ct,ct,8,16,69,chest,t,2735,-1742.2415,715.80743,-18.8125,85,Apartments,xertioN,76561198193174134,t,hkp2000,16,1
85,-2045.4269,736.473,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,ct,0,24,45,right_leg,t,2745,-1745.7749,694.98456,8.75,69,Apartments,xertioN,76561198193174134,t,hkp2000,24,1
100,-1910.7267,771.96625,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,ct,0,138,0,head,t,2804,-1842.7019,747.2896,-47.96875,100,Apartments,Spinx,76561198063336407,t,hkp2000,100,1
100,-1957.0995,767.79486,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,ct,0,137,0,head,t,2830,-1848.1047,746.62067,-47.96875,100,Apartments,Brollan,76561198138828475,t,hkp2000,100,1
77,-1950.9532,763.9274,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,ct,8,16,29,chest,t,2863,-1719.3882,680.03394,-45.359375,45,Apartments,xertioN,76561198193174134,t,hkp2000,16,1
0,-1217.861,718.58685,-79.96875,100.0,Apartments,torzsi,76561198355739212,t,ct,0,8,92,chest,t,2913,-1634.2596,743.9101,-47.96875,100,Apartments,Jimpphat,76561198855375325,t,glock,8,1
70,-997.42413,144.23036,-171.71729,100.0,Underpass,TeSeS,76561197996678278,ct,ct,7,14,15,chest,t,3003,-1799.5094,650.7832,-23.96875,29,Apartments,xertioN,76561198193174134,t,hkp2000,14,1
69,-1769.7211,721.24384,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,ct,1,21,0,generic,t,3077,-1722.1566,691.73706,-47.96875,15,Apartments,xertioN,76561198193174134,t,knife,15,1
0,-1415.2577,788.3334,-56.457336,100.0,Apartments,torzsi,76561198355739212,t,ct,0,26,74,chest,t,3146,-1769.0713,720.5287,-47.96875,100,Apartments,kyxsan,76561198057282432,ct,glock,26,1
95,366.87332,297.37445,-258.9922,92.0,SideAlley,Jimpphat,76561198855375325,t,ct,5,19,81,chest,t,5860,379.1362,-797.0532,-164.3125,100,TopofMid,m0NESY,76561198074762801,ct,p250,19,1
95,363.73264,297.34753,-259.49097,92.0,SideAlley,Jimpphat,76561198855375325,t,ct,0,120,0,head,t,5873,384.9112,-796.0908,-164.50323,81,TopofMid,m0NESY,76561198074762801,ct,p250,81,1
0,-1830.6222,788.3199,-47.96875,100.0,Apartments,Magisk,76561197983956651,ct,ct,0,28,72,right_arm,t,6832,-1010.5165,118.92395,-170.03027,100,Underpass,torzsi,76561198355739212,t,hkp2000,28,1
93,-1025.9857,115.224075,-169.78357,72.0,Underpass,torzsi,76561198355739212,t,ct,7,14,86,chest,t,6845,-1835.1038,782.7632,-47.96875,100,Apartments,Magisk,76561197983956651,ct,hkp2000,14,1
0,-1704.3987,732.4969,-47.96875,74.0,Apartments,kyxsan,76561198057282432,ct,ct,0,25,67,chest,t,7115,-1184.4323,107.340195,-167.4408,92,Catwalk,Jimpphat,76561198855375325,t,elite,25,1
0,-1307.7762,505.15784,-163.59473,100.0,BombsiteB,TeSeS,76561197996678278,ct,ct,0,32,35,chest,t,7134,-1181.5902,108.18501,-167.56775,67,Catwalk,Jimpphat,76561198855375325,t,hkp2000,32,1
94,-1186.7921,106.655914,-167.33643,35.0,Catwalk,Jimpphat,76561198855375325,t,ct,6,22,78,right_arm,t,7152,-1314.0416,503.18573,-163.8905,100,BombsiteB,TeSeS,76561197996678278,ct,p250,22,1
0,-1314.6136,502.99484,-163.91919,78.0,BombsiteB,TeSeS,76561197996678278,ct,ct,0,129,0,head,t,7153,-1186.2705,106.83213,-167.36102,35,Catwalk,Jimpphat,76561198855375325,t,hkp2000,35,1
100,-978.36285,231.02995,-172.05487,72.0,Underpass,torzsi,76561198355739212,t,ct,0,104,0,head,t,7166,-2530.2422,336.48474,-167.96875,100,BombsiteB,NiKo,76561198041683378,ct,hkp2000,100,1
94,-1166.842,107.25352,-167.89478,72.0,Catwalk,torzsi,76561198355739212,t,ct,0,129,0,head,t,7303,-1320.9248,515.3016,-162.07318,78,BombsiteB,TeSeS,76561197996678278,ct,hkp2000,78,1
0,-1704.0375,692.9787,-47.96875,74.0,Apartments,kyxsan,76561198057282432,ct,ct,0,26,46,chest,t,7318,-1193.2616,107.998795,-167.25128,72,Catwalk,torzsi,76561198355739212,t,elite,26,1
0,-1702.9015,693.9954,-47.96875,74.0,Apartments,kyxsan,76561198057282432,ct,ct,0,105,0,head,t,7326,-1193.4614,112.19474,-167.50793,46,Catwalk,torzsi,76561198355739212,t,elite,46,1
100,-1032.061,475.58752,-313.9375,100.0,Underpass,xertioN,76561198193174134,t,ct,0,15,85,right_leg,t,11399,-965.23267,-750.59033,-263.96875,100,Middle,NiKo,76561198041683378,ct,glock,15,2
95,-1026.8451,475.96988,-367.96875,100.0,Underpass,Spinx,76561198063336407,t,ct,5,9,76,chest,t,11405,-960.9473,-750.5316,-263.96875,85,Middle,NiKo,76561198041683378,ct,glock,9,2
89,-994.83405,475.96933,-367.96875,100.0,Underpass,Jimpphat,76561198855375325,t,ct,6,11,65,stomach,t,11413,-953.32544,-750.3491,-263.96875,76,Middle,NiKo,76561198041683378,ct,glock,11,2
89,-1033.6436,475.50638,-313.9375,100.0,Underpass,xertioN,76561198193174134,t,ct,0,15,50,left_leg,t,11418,-949.09534,-750.22217,-263.96875,65,Middle,NiKo,76561198041683378,ct,glock,15,2
84,-1027.4763,475.9367,-367.96875,100.0,Underpass,Spinx,76561198063336407,t,ct,5,9,41,chest,t,11419,-948.2588,-750.19305,-263.96875,50,Middle,NiKo,76561198041683378,ct,glock,9,2
78,-995.36597,475.95767,-367.96875,100.0,Underpass,Jimpphat,76561198855375325,t,ct,6,11,30,stomach,t,11423,-945.383,-750.088,-262.70923,41,Middle,NiKo,76561198041683378,ct,glock,11,2
95,212.63387,-273.94495,-167.76038,100.0,TopofMid,Brollan,76561198138828475,t,ct,5,8,92,chest,t,12912,-1125.9232,-669.13403,-113.84375,100,SnipersNest,m0NESY,76561198074762801,ct,glock,8,2
75,215.93045,-284.9361,-167.65234,100.0,TopofMid,Brollan,76561198138828475,t,ct,20,35,57,head,t,12921,-1119.319,-669.6718,-129.07812,92,SnipersNest,m0NESY,76561198074762801,ct,glock,35,2
69,219.47368,-297.1839,-167.52588,100.0,TopofMid,Brollan,76561198138828475,t,ct,6,11,46,stomach,t,12931,-1119.4584,-670.81274,-134.96875,57,SnipersNest,m0NESY,76561198074762801,ct,glock,11,2
49,222.91438,-309.46082,-167.40106,100.0,TopofMid,Brollan,76561198138828475,t,ct,20,35,11,head,t,12941,-1127.352,-667.76587,-141.21875,46,SnipersNest,m0NESY,76561198074762801,ct,glock,35,2
0,-1149.4254,-651.04144,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,26,74,chest,t,12977,223.70868,-311.99286,-167.37372,100,TopofMid,Brollan,76561198138828475,t,famas,26,2
0,-1151.8538,-649.4838,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,26,48,chest,t,12983,223.11954,-309.6452,-167.3963,74,TopofMid,Brollan,76561198138828475,t,famas,26,2
0,-1157.2949,-645.94275,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,26,22,chest,t,12995,222.0631,-305.3902,-167.43701,48,TopofMid,Brollan,76561198138828475,t,famas,26,2
0,-1162.1392,-631.44885,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,26,74,chest,t,13018,225.34286,-263.46033,-167.58148,100,TopofMid,torzsi,76561198355739212,t,famas,26,2
0,432.72238,-202.20532,-159.96875,100.0,TopofMid,xertioN,76561198193174134,t,ct,0,36,38,head,t,13022,224.9429,-261.9806,-167.59625,74,TopofMid,torzsi,76561198355739212,t,glock,36,2
0,-1163.1691,-627.4694,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,33,5,stomach,t,13023,224.89839,-261.81616,-167.5979,38,TopofMid,torzsi,76561198355739212,t,famas,33,2
0,-1164.4163,-622.72955,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,33,0,stomach,t,13029,219.08308,-293.77362,-167.54993,22,TopofMid,Brollan,76561198138828475,t,famas,22,2
0,-1169.5242,-602.13074,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,33,0,stomach,t,13052,224.81007,-261.33698,-167.60193,5,TopofMid,torzsi,76561198355739212,t,famas,5,2
0,-804.3766,-384.33856,-167.14868,100.0,Catwalk,TeSeS,76561197996678278,ct,ct,0,27,73,chest,t,13144,453.7469,-303.90875,-159.96875,100,TopofMid,xertioN,76561198193174134,t,famas,27,2
0,-804.73975,-377.98108,-167.12878,100.0,Catwalk,TeSeS,76561197996678278,ct,ct,0,27,46,chest,t,13155,453.02618,-290.51953,-159.96875,73,TopofMid,xertioN,76561198193174134,t,famas,27,2
0,-798.7587,-444.31836,-167.0039,100.0,Catwalk,TeSeS,76561197996678278,ct,ct,0,26,74,chest,t,13203,502.96838,-291.7265,-160.00201,100,TopofMid,Spinx,76561198063336407,t,famas,26,2
0,-798.5859,-445.6961,-166.98102,100.0,Catwalk,TeSeS,76561197996678278,ct,ct,0,26,48,chest,t,13209,502.38425,-287.22986,-160.02087,74,TopofMid,Spinx,76561198063336407,t,famas,26,2
95,498.45963,-256.75342,-160.14746,48.0,TopofMid,Spinx,76561198063336407,t,ct,5,9,91,right_arm,t,13234,-799.1904,-440.70642,-167.06372,100,Catwalk,TeSeS,76561197996678278,ct,glock,9,2
0,-799.90546,-434.3938,-167.18518,91.0,Catwalk,TeSeS,76561197996678278,ct,ct,0,26,22,chest,t,13255,499.77084,-265.8589,-160.10516,48,TopofMid,Spinx,76561198063336407,t,famas,26,2
0,-1217.3708,-616.7448,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,ct,0,100,0,head,t,13273,500.59625,-272.1372,-160.07855,22,TopofMid,Spinx,76561198063336407,t,hkp2000,22,2
0,-804.6711,-396.2959,-167.20227,91.0,Catwalk,TeSeS,76561197996678278,ct,ct,0,27,19,right_arm,t,13293,446.7846,-301.33557,-159.96875,46,TopofMid,xertioN,76561198193174134,t,famas,27,2
0,-804.40094,-399.64832,-167.24902,91.0,Catwalk,TeSeS,76561197996678278,ct,ct,0,27,0,chest,t,13298,446.18658,-299.72345,-159.96875,19,TopofMid,xertioN,76561198193174134,t,famas,19,2
0,-555.0692,-1099.6141,-167.96875,30.0,Connector,NiKo,76561198041683378,ct,ct,0,122,0,head,t,13306,-798.7373,-576.01245,-263.4599,100,Middle,Jimpphat,76561198855375325,t,m4a1,100,2
78,184.9522,808.6402,-135.96875,100.0,House,Spinx,76561198063336407,t,ct,0,1,99,generic,t,15424,-1198.1416,-633.4769,-167.96875,100,SnipersNest,NiKo,76561198041683378,ct,smokegrenade,1,3
74,-626.51447,-554.0672,-272.3228,100.0,Middle,Brollan,76561198138828475,t,ct,4,33,66,stomach,t,16773,-679.7711,-1354.0963,-167.96875,99,BombsiteA,NiKo,76561198041683378,ct,ak47,33,3
71,-623.76935,-554.4758,-272.44012,100.0,Middle,Brollan,76561198138828475,t,ct,3,27,39,chest,t,16779,-674.32135,-1354.5259,-167.96875,66,BombsiteA,NiKo,76561198041683378,ct,ak47,27,3
68,-625.8846,-554.379,-272.34973,100.0,Middle,Brollan,76561198138828475,t,ct,3,27,12,chest,t,16792,-668.9368,-1354.8953,-167.96875,39,BombsiteA,NiKo,76561198041683378,ct,ak47,27,3
65,-627.5845,-554.28613,-272.2771,100.0,Middle,Brollan,76561198138828475,t,ct,3,27,0,chest,t,16798,-667.1386,-1355.0032,-167.96875,12,BombsiteA,NiKo,76561198041683378,ct,ak47,12,3
84,-716.5768,-1548.9257,-167.96875,100.0,BombsiteA,m0NESY,76561198074762801,ct,ct,16,77,23,head,t,16802,-628.04047,-554.26166,-272.25757,100,Middle,Brollan,76561198138828475,t,famas,77,3
