armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
90,1571.138,-340.4569,-415.96875,100.0,Outside,910-,76561199203563345,ct,ct,10,20,80,stomach,t,3462,1277.012,-551.9918,-387.20312,100,Hell,mezii,76561197973140692,t,hkp2000,20,1
90,1571.1768,-340.78436,-415.96875,100.0,Outside,910-,76561199203563345,ct,ct,0,130,0,head,t,3473,1277.2734,-559.8983,-415.46875,80,Hell,mezii,76561197973140692,t,hkp2000,80,1
0,1506.5057,-314.03186,-415.96875,100.0,Outside,910-,76561199203563345,ct,ct,0,134,0,head,t,3561,1431.2113,-528.7757,-415.96875,100,Outside,apEX,76561197989744167,t,hkp2000,100,1
93,1394.4097,-1711.9666,-415.96875,100.0,Outside,bLitz,76561198959824088,ct,ct,7,15,85,chest,t,3607,840.26514,-1554.2484,-223.96875,100,Silo,flameZ,76561197978835160,t,hkp2000,15,1
84,1394.3983,-1711.9686,-415.96875,100.0,Outside,bLitz,76561198959824088,ct,ct,9,19,66,stomach,t,3618,861.0498,-1553.032,-219.39062,85,Silo,flameZ,76561197978835160,t,hkp2000,19,1
84,1394.3983,-1711.9686,-415.96875,100.0,Outside,bLitz,76561198959824088,ct,ct,0,23,43,left_leg,t,3629,880.2256,-1557.8429,-182.0,66,Silo,flameZ,76561197978835160,t,hkp2000,23,1
77,1386.4382,-1711.9683,-415.96875,100.0,Outside,bLitz,76561198959824088,ct,ct,7,15,28,chest,t,3651,898.8858,-1565.4291,-178.07812,43,Silo,flameZ,76561197978835160,t,hkp2000,15,1
70,1372.3413,-1711.968,-415.96875,100.0,Outside,bLitz,76561198959824088,ct,ct,7,16,12,chest,t,3673,896.45703,-1557.5795,-258.3125,28,Silo,flameZ,76561197978835160,t,hkp2000,16,1
61,1377.6444,-1707.7676,-415.96875,100.0,Outside,bLitz,76561198959824088,ct,ct,9,20,0,stomach,t,3691,921.7456,-1557.3411,-353.85938,12,Silo,flameZ,76561197978835160,t,hkp2000,12,1
100,1390.822,-532.7217,-415.46875,100.0,Hell,ZywOo,76561198113666193,t,ct,0,112,0,head,t,3893,1455.9377,-320.1936,-415.96875,100,Outside,910-,76561199203563345,ct,glock,100,1
95,495.32355,-566.7129,-399.96875,100.0,BombsiteA,ropz,76561197991272318,t,ct,5,10,90,chest,t,3899,919.1043,-1452.4429,-415.96875,100,BombsiteA,Techno4K,76561198966340160,ct,glock,10,1
93,908.7346,-1457.4055,-415.96875,90.0,BombsiteA,Techno4K,76561198966340160,ct,ct,7,14,86,chest,t,3910,496.10437,-566.7726,-399.96875,100,BombsiteA,ropz,76561197991272318,t,hkp2000,14,1
86,919.94714,-1452.4185,-415.96875,90.0,BombsiteA,Techno4K,76561198966340160,ct,ct,7,14,72,chest,t,3925,502.69284,-563.7696,-399.96875,86,BombsiteA,ropz,76561197991272318,t,hkp2000,14,1
90,493.77307,-567.3798,-399.96875,72.0,BombsiteA,ropz,76561197991272318,t,ct,5,10,80,right_arm,t,3946,920.3408,-1452.2579,-415.96875,90,BombsiteA,Techno4K,76561198966340160,ct,glock,10,1
78,907.338,-1458.3344,-415.96875,80.0,BombsiteA,Techno4K,76561198966340160,ct,ct,8,18,54,stomach,t,3969,500.59702,-563.0643,-399.96875,72,BombsiteA,ropz,76561197991272318,t,hkp2000,18,1
71,621.3761,-1334.2388,-415.96875,100.0,BombsiteA,Senzu,76561198920720017,ct,ct,7,15,39,right_arm,t,4013,530.15283,-556.07324,-399.96875,54,BombsiteA,ropz,76561197991272318,t,hkp2000,15,1
64,612.3571,-1335.3657,-415.96875,100.0,BombsiteA,Senzu,76561198920720017,ct,ct,7,15,24,right_arm,t,4025,537.04364,-555.4089,-399.96875,39,BombsiteA,ropz,76561197991272318,t,hkp2000,15,1
57,588.88715,-1337.8008,-415.96875,100.0,BombsiteA,Senzu,76561198920720017,ct,ct,7,15,9,chest,t,4036,542.8919,-554.73334,-399.96875,24,BombsiteA,ropz,76561197991272318,t,hkp2000,15,1
100,544.8866,-554.6052,-399.96875,9.0,BombsiteA,ropz,76561197991272318,t,ct,0,93,7,head,t,4041,590.0658,-1337.8304,-415.96875,100,BombsiteA,Senzu,76561198920720017,ct,glock,93,1
100,571.40283,-553.3054,-399.96875,9.0,BombsiteA,ropz,76561197991272318,t,ct,0,93,0,head,t,4063,590.59375,-1337.9146,-415.96875,7,BombsiteA,Senzu,76561198920720017,ct,glock,7,1
93,751.2484,-1701.5421,-415.96875,100.0,Mini,bLitz,76561198959824088,ct,ct,7,14,86,chest,t,4922,388.82846,-644.6864,-415.96875,100,BombsiteA,ZywOo,76561198113666193,t,hkp2000,14,1
90,-155.86316,-1121.5371,-415.96875,9.0,Lobby,ropz,76561197991272318,t,ct,0,100,0,head,t,4956,345.49017,-1344.3538,-415.96875,80,BombsiteA,Techno4K,76561198966340160,ct,glock,80,1
86,677.6655,-1704.433,-415.96875,100.0,Mini,bLitz,76561198959824088,ct,ct,7,14,72,chest,t,5058,575.9652,-614.2177,-399.96875,86,BombsiteA,ZywOo,76561198113666193,t,hkp2000,14,1
79,600.6844,-1495.1067,-415.46875,100.0,Mini,bLitz,76561198959824088,ct,ct,7,15,57,chest,t,5562,583.0288,-839.2216,-399.96875,72,BombsiteA,ZywOo,76561198113666193,t,hkp2000,15,1
94,588.2581,-839.0732,-399.96875,57.0,BombsiteA,ZywOo,76561198113666193,t,ct,6,11,89,chest,t,5564,601.6776,-1497.1973,-415.46875,100,Mini,bLitz,76561198959824088,ct,glock,11,1
70,584.5212,-1525.0642,-415.46875,89.0,Mini,bLitz,76561198959824088,ct,ct,9,19,38,stomach,t,5584,581.1894,-839.004,-399.96875,57,BombsiteA,ZywOo,76561198113666193,t,hkp2000,19,1
70,565.5769,-1574.1466,-415.96875,89.0,Mini,bLitz,76561198959824088,ct,ct,0,121,0,head,t,5609,607.1971,-839.49945,-415.96875,38,BombsiteA,ZywOo,76561198113666193,t,hkp2000,38,1
88,541.3348,-1217.134,-415.96875,9.0,BombsiteA,ropz,76561197991272318,t,ct,6,12,77,chest,t,5671,574.48663,-1620.8676,-415.96875,89,Mini,bLitz,76561198959824088,ct,glock,12,1
57,-47.737244,-1276.8446,-415.96875,100.0,Squeaky,Mzinho,76561198838822582,ct,ct,0,128,0,head,t,5789,425.73245,-1262.2551,-415.96875,9,BombsiteA,ropz,76561197991272318,t,hkp2000,9,1
